seqname	dsDNAphage	ssDNA	NCLDV	RNA	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
PV287666.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	1028	1	100.000	0.000
PV287670.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	1757	1	100.000	0.000
PV287672.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	1006	1	100.000	0.000
PV287661.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	3950	1	100.000	0.000
PV287667.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	3980	1	50.000	0.000
PV287678.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	3998	1	100.000	0.000
PV287677.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	4109	1	100.000	0.000
PV335187.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	6425	1	100.000	0.000
PV335190.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	3129	1	100.000	0.000
PV335191.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	6934	1	100.000	0.000
PV357253.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	5921	1	100.000	0.000
PV357256.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	2127	1	100.000	0.000
PV335196.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	10155	1	100.000	0.000
PV335197.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	10239	1	100.000	0.000
PV335200.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	3477	1	100.000	0.000
PV335201.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	2954	1	100.000	0.000
PV335203.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	3442	1	100.000	0.000
PV335212.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	1195	1	100.000	0.000
PV335210.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	1252	1	100.000	0.000
PV335211.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	1214	1	100.000	0.000
