seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
PV287668.1	1725	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV335211.1	1214	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales;
PV335222.1	9346	No terminal repeats	NA	5	11	0.9995	0.0005	2	3.4366	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae
PV335223.1	8984	No terminal repeats	NA	5	11	0.9995	0.0005	2	3.4366	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae
PV287669.1	1336	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV274272.1	4751	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV335224.1	20816	No terminal repeats	NA	7	11	0.9995	0.0005	1	3.4366	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Mesoniviridae
PV287678.1	3998	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Hareavirales;Phenuiviridae
PV287662.1	3071	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV335198.1	9185	No terminal repeats	NA	2	11	0.9995	0.0005	0	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Iflaviridae
PV335209.1	2077	No terminal repeats	NA	2	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales;
PV335226.1	20449	No terminal repeats	NA	5	11	0.9995	0.0005	1	3.4366	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Mesoniviridae
PV274275.1	1901	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV274274.1	3129	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV274266.1	2660	No terminal repeats	NA	1	11	0.9995	0.0005	0	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV357253.1	5921	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae
PV287667.1	3980	No terminal repeats	NA	2	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV269768.1	3066	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV274263.1	5284	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV287671.1	2709	No terminal repeats	NA	2	11	0.9995	0.0005	0	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV274271.1	1450	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV335191.1	6934	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Peribunyaviridae
PV274273.1	3629	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV335220.1	11766	No terminal repeats	NA	6	11	0.9995	0.0005	2	3.4366	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae
PV335221.1	11766	No terminal repeats	NA	6	11	0.9995	0.0005	2	3.4366	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae
PV335216.1	11775	No terminal repeats	NA	5	11	0.9995	0.0005	2	3.4366	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae
PV357251.1	11865	No terminal repeats	NA	6	11	0.9995	0.0005	2	3.4366	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae
PV335207.1	12041	No terminal repeats	NA	3	11	0.9995	0.0005	3	5.1548	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae
PV335218.1	11777	No terminal repeats	NA	6	11	0.9995	0.0005	2	3.4366	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae
PV335219.1	11766	No terminal repeats	NA	5	11	0.9995	0.0005	2	3.4366	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae
PV274264.1	5613	No terminal repeats	NA	2	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV335206.1	10132	No terminal repeats	NA	3	11	0.9995	0.0005	3	5.1548	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae
PV335215.1	12006	No terminal repeats	NA	7	11	0.9995	0.0005	2	3.4366	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae
PV274270.1	2429	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV335204.1	12091	No terminal repeats	NA	3	11	0.9995	0.0005	3	5.1548	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae
PV335196.1	10155	No terminal repeats	NA	1	11	0.9995	0.0005	0	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Iflaviridae
PV357254.1	6963	No terminal repeats	NA	2	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae
PV335217.1	11773	No terminal repeats	NA	5	11	0.9995	0.0005	2	3.4366	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae
PV357252.1	11779	No terminal repeats	NA	5	11	0.9995	0.0005	2	3.4366	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae
PV269767.1	3378	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV335205.1	12052	No terminal repeats	NA	4	11	0.9995	0.0005	3	5.1548	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae
PV335202.1	3088	No terminal repeats	NA	3	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae
PV357257.1	2489	No terminal repeats	NA	2	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae
PV335195.1	8975	No terminal repeats	NA	5	11	0.9994	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;
PV357255.1	4759	No terminal repeats	NA	2	11	0.9994	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae
PV335194.1	12506	No terminal repeats	NA	6	11	0.9994	0.0005	0	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Xinmoviridae
PV269761.1	1162	No terminal repeats	NA	1	11	0.9994	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV287676.1	2507	No terminal repeats	NA	1	11	0.9445	0.0013	0	0.0000	Unclassified
