name	len	score	pvalue
PV335206.1 Caaingua virus isolate K31_30/1/BR2022, partial genome	10132	0.2966980040073395	0.120024171009895
PV335208.1 Jurua alphavirus isolate B5_100/1/BR2021, complete genome	10990	0.24580951035022736	0.13339376085807086
PV335209.1 Jurua totivirus 1 isolate B5_76/37/BR2021 RNA-dependent RNA polymerase, partial CDS	2077	0.6174541711807251	0.0403542563637737
PV335212.1 Jurua totivirus 2 isolate F17_2/263/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds	1195	0.4819754660129547	0.07311730493239671
PV335187.1 Jurua cumuto-like virus isolate B6_22/2/BR2021 segment L, complete sequence	6425	0.9990179538726807	0.003569000679809653
PV274268.1 MAG: Orthophasmavirus sp. isolate D11_14/100/BR2021 cRNA sequence	1282	0.9718027114868164	0.010518166024624217
PV274267.1 MAG: Orthophasmavirus sp. isolate D11_6/167/BR2021 cRNA sequence	1195	0.4326956272125244	0.08820530251529572
PV335190.1 Jurua goukovirus isolate E14_28/17/BR2021 segment L, complete sequence	3129	0.9842406511306763	0.008686456681018204
PV274273.1 MAG: Orthophasmavirus sp. isolate D10_8/18/BR2021 cRNA sequence	3629	0.9957762360572815	0.0058350328574665765
PV274266.1 MAG: Orthophasmavirus sp. isolate D11_2/141/BR2021 cRNA sequence	2660	0.4713252782821655	0.07700732683737442
PV274269.1 MAG: Orthophasmavirus sp. isolate I24_22/11/BR2022 cRNA sequence	2317	0.769579291343689	0.027853312183699675
PV335210.1 Jurua totivirus 2 isolate D10_1/127/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds	1252	0.6531547904014587	0.03680413928544452
PV274272.1 MAG: Orthophasmavirus sp. isolate D10_16/3/BR2021 cRNA sequence	4751	0.9995956420898438	0.0026625878087468842
PV335211.1 Jurua totivirus 2 isolate D10_2/1706/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds	1214	0.3014545142650604	0.1188533877181056
PV287668.1 Coredo-like virus 3 isolate I24_20/37/BR2022 RNA-dependent RNA polymerase (RdRp) gene, partial cds	1725	0.8220186233520508	0.02354785104615152
PV287664.1 Coredo-like virus 3 isolate B5_100/3/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds	2105	0.9403235912322998	0.014804743560691894
PV274270.1 MAG: Orthophasmavirus sp. isolate C7_12/19/BR2021 cRNA sequence	2429	0.9767643809318542	0.009687287559483344
PV287665.1 Coredo-like virus 3 isolate B5_2/984/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds	1074	0.6643406748771667	0.03597326082030365
PV287669.1 Coredo-like virus 3 isolate I24_2/44/BR2022 RNA-dependent RNA polymerase (RdRp) gene, partial cds	1336	0.9818897247314453	0.009026361507666742
PV274271.1 MAG: Orthophasmavirus sp. isolate C8_15/82/BR2021 cRNA sequence	1450	0.9087799191474915	0.017089659339829293
PV287672.1 Coredo-like virus 3 isolate J26_19/389/BR2022 RNA-dependent RNA polymerase (RdRp) gene, partial cds	1006	0.9992369413375854	0.0032479794546415894
PV269766.1 Jurua orthophasmavirus strain J27_25/5/BR2022 RNA-dependent RNA polymerase (RdRp) gene, partial cds	1218	0.9994301795959473	0.0029647254324344737
PV287671.1 Coredo-like virus 3 isolate I25_31/6/BR2022 RNA-dependent RNA polymerase (RdRp) gene, partial cds	2709	0.999828040599823	0.0019827781554498073
PV269767.1 Coredo virus strain B5_77/9/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds	3378	0.9864741563796997	0.00823325024548682
PV287661.1 Coredo-like virus 3 isolate B4_60/13/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds	3950	0.9863131046295166	0.00823325024548682
PV269768.1 Coredo virus strain E15_1/19/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds	3066	0.9983809590339661	0.004343228340509102
PV287662.1 Coredo-like virus 3 isolate B4_82/35/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds	3071	0.9997707605361938	0.002077196162852179
PV274264.1 MAG: Orthophasmavirus sp. isolate B5_87/7/BR2021 cRNA sequence	5613	0.9948358535766602	0.006118286879673691
PV287666.1 Coredo-like virus 3 isolate I23_2/148/BR2022 RNA-dependent RNA polymerase (RdRp) gene, partial cds	1028	0.9959560632705688	0.005816149255986102
PV287673.1 Coredo-like virus 3 isolate J26_21/216/BR2022 RNA-dependent RNA polymerase (RdRp) gene, partial cds	2148	0.9996888637542725	0.002379333786539769
PV274274.1 MAG: Orthophasmavirus sp. isolate E14_14/35/BR2021 cRNA sequence	3129	0.9997864365577698	0.0020394289598912306
PV287670.1 Coredo-like virus 3 isolate I24_5/15/BR2022 RNA-dependent RNA polymerase (RdRp) gene, partial cds	1757	0.9944471120834351	0.006212704887076063
PV287674.1 Coredo-like virus 3 isolate J26_9/180/BR2022 RNA-dependent RNA polymerase (RdRp) gene, partial cds	1535	0.8406402468681335	0.02218823173955737
PV274275.1 MAG: Orthophasmavirus sp. isolate F16_7/34/BR2021 cRNA sequence	1901	0.9998572468757629	0.0019072437495279099
PV287675.1 Coredo-like virus 3 isolate J27_24/85/BR2022 RNA-dependent RNA polymerase (RdRp) gene, partial cds	1800	0.9647337198257446	0.011632298511972203
PV287678.1 Jurua mobuvirus isolate D10_2/25/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds	3998	0.7872726321220398	0.026304856862300777
PV287659.1 Coredo-like virus 3 isolate A3_18/51/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds	2231	0.9923698902130127	0.0068547473374121915
PV287660.1 Coredo-like virus 3 isolate B4_59/8/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds	4088	0.9985421895980835	0.0042110431301457816
PV287677.1 Jurua mobuvirus isolate C7_2/2/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds	4109	0.9905632138252258	0.007270186569982627
PV287663.1 Coredo-like virus 3 isolate B4_96/22/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds	2478	0.9764783978462219	0.009725054762444294
PV287667.1 Coredo-like virus 3 isolate I23_87/2/BR2022 RNA-dependent RNA polymerase (RdRp) gene, partial cds	3980	0.9952248334884644	0.0060049852707908455
PV274263.1 MAG: Orthophasmavirus sp. isolate B5_84/7/BR2021 cRNA sequence	5284	0.9837157726287842	0.008743107485459627
PV287676.1 Jurua narangue-like virus isolate B4_1/11/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds	2507	0.9934877753257751	0.006628144119646499
PV274265.1 MAG: Orthophasmavirus sp. isolate D10_17/30/BR2021 cRNA sequence	1827	0.42059412598609924	0.09169876878918347
