accession,component,length_bp
NM_001407525.1,Aedes_aegypti_mRNA,1022
NM_001407529.1,Aedes_aegypti_mRNA,543
NM_001407363.1,Aedes_aegypti_mRNA,588
NM_001407445.1,Aedes_aegypti_mRNA,1245
NM_001407440.1,Aedes_aegypti_mRNA,1488
NM_001407350.1,Aedes_aegypti_mRNA,1889
NM_001407346.1,Aedes_aegypti_mRNA,2146
NM_001407319.1,Aedes_aegypti_mRNA,778
NM_001407347.1,Aedes_aegypti_mRNA,2230
NM_001407303.1,Aedes_aegypti_mRNA,2168
NM_001407345.1,Aedes_aegypti_mRNA,1037
NM_001407272.1,Aedes_aegypti_mRNA,1571
NM_001406265.1,Aedes_aegypti_mRNA,553
NM_001406262.1,Aedes_aegypti_mRNA,726
NM_001359030.1,Aedes_aegypti_mRNA,4524
NM_001358784.1,Aedes_aegypti_mRNA,2271
NM_001358459.1,Aedes_aegypti_mRNA,1379
NM_001358319.1,Aedes_aegypti_mRNA,2531
NM_001358323.1,Aedes_aegypti_mRNA,1231
NM_001358216.1,Aedes_aegypti_mRNA,1528
NM_001358152.1,Aedes_aegypti_mRNA,3110
NM_001358127.1,Aedes_aegypti_mRNA,1887
NM_001395914.1,Aedes_aegypti_mRNA,2069
NM_001358565.1,Aedes_aegypti_mRNA,1200
NM_001358515.1,Aedes_aegypti_mRNA,1131
NM_001358462.1,Aedes_aegypti_mRNA,1284
NM_001358450.1,Aedes_aegypti_mRNA,1203
NM_001358457.1,Aedes_aegypti_mRNA,1608
NM_001358463.1,Aedes_aegypti_mRNA,1221
NM_001358415.1,Aedes_aegypti_mRNA,1227
NM_001358401.1,Aedes_aegypti_mRNA,1518
NM_001358417.1,Aedes_aegypti_mRNA,1224
NM_001358405.1,Aedes_aegypti_mRNA,1680
NM_001358388.1,Aedes_aegypti_mRNA,1563
NM_001358358.1,Aedes_aegypti_mRNA,1734
NM_001358262.1,Aedes_aegypti_mRNA,1258
NM_001363946.1,Aedes_aegypti_mRNA,1023
NM_001358928.1,Aedes_aegypti_mRNA,4432
NM_001358091.1,Aedes_aegypti_mRNA,1321
NM_001359033.1,Aedes_aegypti_mRNA,4698
NM_001359031.1,Aedes_aegypti_mRNA,4173
NM_001359023.1,Aedes_aegypti_mRNA,1724
NM_001359017.1,Aedes_aegypti_mRNA,1319
NM_001359029.1,Aedes_aegypti_mRNA,1915
NM_001359026.1,Aedes_aegypti_mRNA,2614
NM_001359018.1,Aedes_aegypti_mRNA,1730
NM_001358994.1,Aedes_aegypti_mRNA,759
NM_001358988.1,Aedes_aegypti_mRNA,851
NM_001358992.1,Aedes_aegypti_mRNA,766
NM_001358979.1,Aedes_aegypti_mRNA,803
NM_001358995.1,Aedes_aegypti_mRNA,759
NM_001358986.1,Aedes_aegypti_mRNA,851
NM_001358997.1,Aedes_aegypti_mRNA,759
NM_001358980.1,Aedes_aegypti_mRNA,803
NM_001358987.1,Aedes_aegypti_mRNA,851
NM_001358951.1,Aedes_aegypti_mRNA,1219
NM_001358954.1,Aedes_aegypti_mRNA,1511
NM_001358920.1,Aedes_aegypti_mRNA,6166
NM_001358913.1,Aedes_aegypti_mRNA,1792
NM_001358875.1,Aedes_aegypti_mRNA,2283
NM_001358865.1,Aedes_aegypti_mRNA,1968
NM_001358880.1,Aedes_aegypti_mRNA,2252
NM_001358762.1,Aedes_aegypti_mRNA,2187
NM_001358528.1,Aedes_aegypti_mRNA,1373
NM_001358474.1,Aedes_aegypti_mRNA,1209
NM_001358468.1,Aedes_aegypti_mRNA,1595
NM_001358472.1,Aedes_aegypti_mRNA,1557
NM_001358473.1,Aedes_aegypti_mRNA,2060
NM_001358469.1,Aedes_aegypti_mRNA,1568
NM_001358421.1,Aedes_aegypti_mRNA,1343
NM_001358383.1,Aedes_aegypti_mRNA,3173
NM_001358422.1,Aedes_aegypti_mRNA,1617
NM_001358376.1,Aedes_aegypti_mRNA,1481
NM_001358424.1,Aedes_aegypti_mRNA,1976
NM_001358382.1,Aedes_aegypti_mRNA,3631
NM_001358378.1,Aedes_aegypti_mRNA,1376
NM_001358386.1,Aedes_aegypti_mRNA,1329
NM_001358419.1,Aedes_aegypti_mRNA,1475
NM_001358423.1,Aedes_aegypti_mRNA,1417
NM_001358379.1,Aedes_aegypti_mRNA,1410
NM_001358317.1,Aedes_aegypti_mRNA,1369
NM_001358320.1,Aedes_aegypti_mRNA,1452
NM_001358337.1,Aedes_aegypti_mRNA,1350
NM_001358331.1,Aedes_aegypti_mRNA,2168
NM_001358326.1,Aedes_aegypti_mRNA,1915
NM_001358334.1,Aedes_aegypti_mRNA,3716
NM_001358339.1,Aedes_aegypti_mRNA,1569
NM_001358325.1,Aedes_aegypti_mRNA,2315
NM_001358336.1,Aedes_aegypti_mRNA,1936
NM_001358330.1,Aedes_aegypti_mRNA,3109
NM_001358328.1,Aedes_aegypti_mRNA,2038
NM_001358338.1,Aedes_aegypti_mRNA,1346
NM_001358316.1,Aedes_aegypti_mRNA,1964
NM_001358327.1,Aedes_aegypti_mRNA,2072
NM_001358221.1,Aedes_aegypti_mRNA,2667
NM_001358211.1,Aedes_aegypti_mRNA,1653
NM_001358254.1,Aedes_aegypti_mRNA,3018
NM_001358214.1,Aedes_aegypti_mRNA,1299
NM_001358230.1,Aedes_aegypti_mRNA,1536
NM_001358240.1,Aedes_aegypti_mRNA,1798
NM_001358208.1,Aedes_aegypti_mRNA,1506
NM_001358239.1,Aedes_aegypti_mRNA,2966
NM_001358233.1,Aedes_aegypti_mRNA,2493
NM_001358220.1,Aedes_aegypti_mRNA,1951
NM_001358209.1,Aedes_aegypti_mRNA,1459
NM_001358232.1,Aedes_aegypti_mRNA,2493
NM_001358229.1,Aedes_aegypti_mRNA,2283
NM_001358148.1,Aedes_aegypti_mRNA,2249
NM_001358156.1,Aedes_aegypti_mRNA,2200
NM_001358186.1,Aedes_aegypti_mRNA,2588
NM_001358168.1,Aedes_aegypti_mRNA,1446
NM_001358194.1,Aedes_aegypti_mRNA,1350
NM_001358143.1,Aedes_aegypti_mRNA,2455
NM_001358108.1,Aedes_aegypti_mRNA,2648
NM_001358166.1,Aedes_aegypti_mRNA,1372
NM_001358112.1,Aedes_aegypti_mRNA,1524
NM_001358158.1,Aedes_aegypti_mRNA,2078
NM_001358171.1,Aedes_aegypti_mRNA,1304
NM_001358174.1,Aedes_aegypti_mRNA,1619
NM_001358159.1,Aedes_aegypti_mRNA,2165
NM_001358142.1,Aedes_aegypti_mRNA,2357
NM_001358151.1,Aedes_aegypti_mRNA,2523
NM_001358196.1,Aedes_aegypti_mRNA,1836
NM_001358150.1,Aedes_aegypti_mRNA,1595
NM_001358145.1,Aedes_aegypti_mRNA,1287
NM_001358172.1,Aedes_aegypti_mRNA,1618
NM_001358183.1,Aedes_aegypti_mRNA,1387
NM_001358177.1,Aedes_aegypti_mRNA,1541
NM_001358199.1,Aedes_aegypti_mRNA,1678
NM_001358176.1,Aedes_aegypti_mRNA,1326
NM_001358157.1,Aedes_aegypti_mRNA,1839
NM_001358107.1,Aedes_aegypti_mRNA,1362
NM_001358161.1,Aedes_aegypti_mRNA,5212
NM_001358147.1,Aedes_aegypti_mRNA,1413
NM_001358195.1,Aedes_aegypti_mRNA,1405
NM_001358141.1,Aedes_aegypti_mRNA,2169
NM_001358178.1,Aedes_aegypti_mRNA,2053
NM_001358121.1,Aedes_aegypti_mRNA,2099
NM_001358180.1,Aedes_aegypti_mRNA,1297
NM_001358197.1,Aedes_aegypti_mRNA,3412
NM_001358167.1,Aedes_aegypti_mRNA,2364
NM_001358146.1,Aedes_aegypti_mRNA,2900
NM_001358189.1,Aedes_aegypti_mRNA,1709
NM_001358162.1,Aedes_aegypti_mRNA,1405
NM_001358175.1,Aedes_aegypti_mRNA,1400
NM_001358131.1,Aedes_aegypti_mRNA,2017
NM_001358179.1,Aedes_aegypti_mRNA,1411
NM_001358188.1,Aedes_aegypti_mRNA,1523
NM_001358190.1,Aedes_aegypti_mRNA,2058
NM_001358169.1,Aedes_aegypti_mRNA,1963
NM_001358191.1,Aedes_aegypti_mRNA,1985
NM_001358185.1,Aedes_aegypti_mRNA,1530
NM_001358187.1,Aedes_aegypti_mRNA,2465
NM_001358192.1,Aedes_aegypti_mRNA,1997
NM_001358202.1,Aedes_aegypti_mRNA,1472
NM_001358149.1,Aedes_aegypti_mRNA,1620
NM_001358198.1,Aedes_aegypti_mRNA,1299
NM_001358155.1,Aedes_aegypti_mRNA,1590
NM_001358201.1,Aedes_aegypti_mRNA,2191
NM_001358163.1,Aedes_aegypti_mRNA,1618
NM_001358074.1,Aedes_aegypti_mRNA,1195
NM_001358086.1,Aedes_aegypti_mRNA,1473
NM_001358071.1,Aedes_aegypti_mRNA,2730
NM_001358069.1,Aedes_aegypti_mRNA,2161
NM_001358952.1,Aedes_aegypti_mRNA,3256
NM_001358858.1,Aedes_aegypti_mRNA,1659
NM_001358845.1,Aedes_aegypti_mRNA,1594
NM_001358850.1,Aedes_aegypti_mRNA,1719
NM_001358889.1,Aedes_aegypti_mRNA,1194
NM_001358888.1,Aedes_aegypti_mRNA,1329
NM_001358886.1,Aedes_aegypti_mRNA,1227
NM_001358815.1,Aedes_aegypti_mRNA,1299
NM_001358465.1,Aedes_aegypti_mRNA,1431
NM_001358381.1,Aedes_aegypti_mRNA,2236
NM_001358289.1,Aedes_aegypti_mRNA,1050
NM_001358297.1,Aedes_aegypti_mRNA,1146
NM_001358070.1,Aedes_aegypti_mRNA,1967
NM_001358066.1,Aedes_aegypti_mRNA,1946
NM_001358802.1,Aedes_aegypti_mRNA,1158
NM_001358786.1,Aedes_aegypti_mRNA,1475
NM_001358779.1,Aedes_aegypti_mRNA,1197
NM_001358807.1,Aedes_aegypti_mRNA,1211
NM_001358773.1,Aedes_aegypti_mRNA,1242
NM_001358774.1,Aedes_aegypti_mRNA,1257
NM_001358781.1,Aedes_aegypti_mRNA,1188
NM_001358791.1,Aedes_aegypti_mRNA,1266
NM_001358808.1,Aedes_aegypti_mRNA,1539
NM_001358789.1,Aedes_aegypti_mRNA,1260
NM_001358759.1,Aedes_aegypti_mRNA,1770
NM_001358752.1,Aedes_aegypti_mRNA,1746
NM_001358733.1,Aedes_aegypti_mRNA,1755
NM_001358739.1,Aedes_aegypti_mRNA,2097
NM_001358764.1,Aedes_aegypti_mRNA,1866
NM_001358741.1,Aedes_aegypti_mRNA,1806
NM_001358743.1,Aedes_aegypti_mRNA,1755
NM_001358144.1,Aedes_aegypti_mRNA,2294
NM_001358716.1,Aedes_aegypti_mRNA,1221
NM_001358620.1,Aedes_aegypti_mRNA,1220
NM_001358671.1,Aedes_aegypti_mRNA,1746
NM_001358680.1,Aedes_aegypti_mRNA,2217
NM_001358703.1,Aedes_aegypti_mRNA,1800
NM_001358697.1,Aedes_aegypti_mRNA,1719
NM_001358675.1,Aedes_aegypti_mRNA,1713
NM_001358688.1,Aedes_aegypti_mRNA,1737
NM_001358668.1,Aedes_aegypti_mRNA,1728
NM_001358700.1,Aedes_aegypti_mRNA,1710
NM_001358717.1,Aedes_aegypti_mRNA,2046
NM_001358711.1,Aedes_aegypti_mRNA,1173
NM_001358685.1,Aedes_aegypti_mRNA,2112
NM_001358695.1,Aedes_aegypti_mRNA,1713
NM_001358640.1,Aedes_aegypti_mRNA,2013
NM_001358714.1,Aedes_aegypti_mRNA,1215
NM_001358691.1,Aedes_aegypti_mRNA,1782
NM_001358713.1,Aedes_aegypti_mRNA,2376
NM_001358701.1,Aedes_aegypti_mRNA,1722
NM_001358720.1,Aedes_aegypti_mRNA,1809
NM_001358706.1,Aedes_aegypti_mRNA,1835
NM_001358693.1,Aedes_aegypti_mRNA,1749
NM_001358625.1,Aedes_aegypti_mRNA,1884
NM_001358630.1,Aedes_aegypti_mRNA,1707
NM_001358660.1,Aedes_aegypti_mRNA,1836
NM_001358656.1,Aedes_aegypti_mRNA,1824
NM_001358628.1,Aedes_aegypti_mRNA,1608
NM_001358629.1,Aedes_aegypti_mRNA,1605
NM_001358635.1,Aedes_aegypti_mRNA,1521
NM_001358662.1,Aedes_aegypti_mRNA,1704
NM_001358623.1,Aedes_aegypti_mRNA,1283
NM_001358646.1,Aedes_aegypti_mRNA,1605
NM_001358621.1,Aedes_aegypti_mRNA,1398
NM_001358300.1,Aedes_aegypti_mRNA,1290
NM_001358607.1,Aedes_aegypti_mRNA,1356
NM_001358614.1,Aedes_aegypti_mRNA,1476
NM_001358609.1,Aedes_aegypti_mRNA,1566
NM_001358597.1,Aedes_aegypti_mRNA,1236
NM_001358598.1,Aedes_aegypti_mRNA,1674
NM_001358616.1,Aedes_aegypti_mRNA,1101
NM_001358605.1,Aedes_aegypti_mRNA,1647
NM_001358344.1,Aedes_aegypti_mRNA,1728
NM_001358341.1,Aedes_aegypti_mRNA,1731
NM_001358350.1,Aedes_aegypti_mRNA,1689
NM_001358353.1,Aedes_aegypti_mRNA,1782
NM_001358342.1,Aedes_aegypti_mRNA,1680
NM_001358346.1,Aedes_aegypti_mRNA,1701
NM_001358348.1,Aedes_aegypti_mRNA,1752
NM_001358340.1,Aedes_aegypti_mRNA,1728
NM_001358343.1,Aedes_aegypti_mRNA,1734
NM_001358321.1,Aedes_aegypti_mRNA,1970
NM_001358322.1,Aedes_aegypti_mRNA,2749
NM_001358335.1,Aedes_aegypti_mRNA,2075
NM_001358265.1,Aedes_aegypti_mRNA,1569
NM_001358264.1,Aedes_aegypti_mRNA,1575
NM_001358296.1,Aedes_aegypti_mRNA,1859
NM_001358299.1,Aedes_aegypti_mRNA,1755
NM_001358227.1,Aedes_aegypti_mRNA,1878
NM_001358242.1,Aedes_aegypti_mRNA,2233
NM_001358118.1,Aedes_aegypti_mRNA,1890
NM_001358119.1,Aedes_aegypti_mRNA,1806
XM_001658529.2,Aedes_aegypti_mRNA,903
XM_001658528.2,Aedes_aegypti_mRNA,1769
XM_021855991.1,Aedes_aegypti_mRNA,1779
XM_021855989.1,Aedes_aegypti_mRNA,1646
XM_021855988.1,Aedes_aegypti_mRNA,2160
XM_021855987.1,Aedes_aegypti_mRNA,2154
XM_001652688.2,Aedes_aegypti_mRNA,2370
XM_021855986.1,Aedes_aegypti_mRNA,1759
XM_001657829.2,Aedes_aegypti_mRNA,2045
XM_021855985.1,Aedes_aegypti_mRNA,2025
XM_021855984.1,Aedes_aegypti_mRNA,927
XM_001659458.2,Aedes_aegypti_mRNA,1181
XM_021855982.1,Aedes_aegypti_mRNA,1200
XM_001659460.2,Aedes_aegypti_mRNA,731
XM_021855981.1,Aedes_aegypti_mRNA,1632
XM_001658526.2,Aedes_aegypti_mRNA,1691
XM_001651557.2,Aedes_aegypti_mRNA,5063
XM_021855980.1,Aedes_aegypti_mRNA,4888
XM_021855979.1,Aedes_aegypti_mRNA,3813
XM_021855978.1,Aedes_aegypti_mRNA,3729
XM_021855977.1,Aedes_aegypti_mRNA,3764
XM_021855976.1,Aedes_aegypti_mRNA,4256
XM_001660227.2,Aedes_aegypti_mRNA,930
XM_001660228.2,Aedes_aegypti_mRNA,1172
XM_001662311.2,Aedes_aegypti_mRNA,1374
XM_021855974.1,Aedes_aegypti_mRNA,6217
XM_021855973.1,Aedes_aegypti_mRNA,6220
XM_021855972.1,Aedes_aegypti_mRNA,6657
XM_021855971.1,Aedes_aegypti_mRNA,6840
XM_021855970.1,Aedes_aegypti_mRNA,6843
XM_021855969.1,Aedes_aegypti_mRNA,6855
XM_021855968.1,Aedes_aegypti_mRNA,7233
XM_021855967.1,Aedes_aegypti_mRNA,7233
XM_021855966.1,Aedes_aegypti_mRNA,7236
XM_021855965.1,Aedes_aegypti_mRNA,4766
XM_021855964.1,Aedes_aegypti_mRNA,7421
XM_021855963.1,Aedes_aegypti_mRNA,7353
XM_021855962.1,Aedes_aegypti_mRNA,6510
XM_021855961.1,Aedes_aegypti_mRNA,6654
XM_021855959.1,Aedes_aegypti_mRNA,6589
XM_021855958.1,Aedes_aegypti_mRNA,7275
XM_021855957.1,Aedes_aegypti_mRNA,7279
XM_021855956.1,Aedes_aegypti_mRNA,7356
XM_021855955.1,Aedes_aegypti_mRNA,1218
XM_021855954.1,Aedes_aegypti_mRNA,1464
XM_001654971.2,Aedes_aegypti_mRNA,2108
XM_001654969.2,Aedes_aegypti_mRNA,1637
XM_001654970.2,Aedes_aegypti_mRNA,1869
XM_021855953.1,Aedes_aegypti_mRNA,1860
XM_001654968.2,Aedes_aegypti_mRNA,1490
XM_001648236.2,Aedes_aegypti_mRNA,4746
XM_001652384.2,Aedes_aegypti_mRNA,707
XM_001652383.2,Aedes_aegypti_mRNA,2050
XM_001651211.2,Aedes_aegypti_mRNA,2395
XM_001652382.2,Aedes_aegypti_mRNA,1330
XM_021855952.1,Aedes_aegypti_mRNA,12767
XM_021855951.1,Aedes_aegypti_mRNA,12872
XM_021855950.1,Aedes_aegypti_mRNA,13120
XM_021855949.1,Aedes_aegypti_mRNA,12887
XM_021855947.1,Aedes_aegypti_mRNA,2308
XM_021855946.1,Aedes_aegypti_mRNA,2482
XM_021855945.1,Aedes_aegypti_mRNA,2306
XM_021855944.1,Aedes_aegypti_mRNA,2401
XM_021855943.1,Aedes_aegypti_mRNA,2430
XM_021855942.1,Aedes_aegypti_mRNA,2466
XM_001650488.2,Aedes_aegypti_mRNA,2488
XM_021855941.1,Aedes_aegypti_mRNA,2981
XM_021855940.1,Aedes_aegypti_mRNA,3582
XM_021855939.1,Aedes_aegypti_mRNA,3603
XM_021855937.1,Aedes_aegypti_mRNA,3533
XM_021855936.1,Aedes_aegypti_mRNA,3280
XM_021855935.1,Aedes_aegypti_mRNA,3409
XM_021855934.1,Aedes_aegypti_mRNA,3400
XM_021855933.1,Aedes_aegypti_mRNA,3400
XM_021855932.1,Aedes_aegypti_mRNA,3457
XM_001652376.2,Aedes_aegypti_mRNA,5657
XM_001663507.2,Aedes_aegypti_mRNA,6599
XM_001657525.2,Aedes_aegypti_mRNA,3120
XM_021855931.1,Aedes_aegypti_mRNA,3285
XM_021855930.1,Aedes_aegypti_mRNA,5164
XM_021855929.1,Aedes_aegypti_mRNA,3690
XM_001652375.2,Aedes_aegypti_mRNA,2097
XM_021855928.1,Aedes_aegypti_mRNA,2149
XM_021855927.1,Aedes_aegypti_mRNA,2301
XM_021855926.1,Aedes_aegypti_mRNA,2292
XM_001648050.2,Aedes_aegypti_mRNA,1697
XM_001648051.2,Aedes_aegypti_mRNA,1553
XM_021855925.1,Aedes_aegypti_mRNA,1609
XM_021855924.1,Aedes_aegypti_mRNA,1629
XM_021855923.1,Aedes_aegypti_mRNA,2476
XM_001652537.2,Aedes_aegypti_mRNA,2130
XM_021855922.1,Aedes_aegypti_mRNA,1527
XM_001663216.2,Aedes_aegypti_mRNA,2133
XM_001652374.2,Aedes_aegypti_mRNA,2792
XM_021855921.1,Aedes_aegypti_mRNA,3247
XM_021855920.1,Aedes_aegypti_mRNA,3065
XM_021855919.1,Aedes_aegypti_mRNA,3553
XM_001653009.2,Aedes_aegypti_mRNA,3113
XM_021855918.1,Aedes_aegypti_mRNA,3147
XM_001652372.2,Aedes_aegypti_mRNA,4003
XM_021855917.1,Aedes_aegypti_mRNA,4960
XM_021855916.1,Aedes_aegypti_mRNA,2994
XM_021855915.1,Aedes_aegypti_mRNA,3655
XM_021855914.1,Aedes_aegypti_mRNA,2408
XM_001652368.2,Aedes_aegypti_mRNA,1391
XM_001652369.2,Aedes_aegypti_mRNA,1527
XM_001652367.2,Aedes_aegypti_mRNA,2268
