accession,species,family,novel,pool,length_bp,description
PV287676,Jurua Narangue-like virus,Phenuiviridae,Yes,B4_1,2507,"PV287676.1 Jurua narangue-like virus isolate B4_1/11/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV287678,Jurua Mobuvirus,Phenuiviridae,Yes,D10_2,3998,"PV287678.1 Jurua mobuvirus isolate D10_2/25/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV287677,Jurua Mobuvirus,Phenuiviridae,Yes,C7_2,4109,"PV287677.1 Jurua mobuvirus isolate C7_2/2/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV335187,Jurua Cumuto-like virus,Phenuiviridae,Yes,B6_22,6425,"PV335187.1 Jurua cumuto-like virus isolate B6_22/2/BR2021 segment L, complete sequence"
PV335190,Jurua Goukovirus,Phenuiviridae,Yes,E14_28,3129,"PV335190.1 Jurua goukovirus isolate E14_28/17/BR2021 segment L, complete sequence"
PV335191,Alajuela virus,Peribunyaviridae,No,F17_5,6934,"PV335191.1 Alajuela virus strain F17_5/2/BR2021 segment L, complete sequence"
PV335215,Merida virus,Rhabdoviridae,No,C8_31,12006,"PV335215.1 Merida virus isolate C8_31/BR2021, complete genome"
PV357251,Merida virus,Rhabdoviridae,No,C7_13,11865,"PV357251.1 Merida virus isolate C7_13/BR2021 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (RdRp) genes, complete cds"
PV357252,Merida virus,Rhabdoviridae,No,F16_1,11779,"PV357252.1 Merida virus isolate F16_1/BR2021 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (RdRp) genes, complete cds"
PV335218,Merida virus,Rhabdoviridae,No,G19_1,11777,"PV335218.1 Merida virus isolate G19_1/BR2021, complete genome"
PV335216,Merida virus,Rhabdoviridae,No,F16_2,11775,"PV335216.1 Merida virus isolate F16_2/BR2021, complete genome"
PV335217,Merida virus,Rhabdoviridae,No,F16_9,11773,"PV335217.1 Merida virus isolate F16_9/BR2021, complete genome"
PV335219,Merida virus,Rhabdoviridae,No,G19_4,11766,"PV335219.1 Merida virus isolate G19_4/BR2021, complete genome"
PV357253,Merida virus,Rhabdoviridae,No,G19_2,5921,"PV357253.1 Merida virus isolate G19_2/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV335220,Merida virus,Rhabdoviridae,No,H22_1,11766,"PV335220.1 Merida virus isolate H22_1/BR2021, complete genome"
PV357254,Merida virus,Rhabdoviridae,No,H22_2,6963,"PV357254.1 Merida virus isolate H22_2/BR2021 RNA-dependent RNA polymerase (RdRp) gene, complete cds"
PV335222,Merida virus,Rhabdoviridae,No,H22_3,9346,"PV335222.1 Merida virus isolate H22_3/BR2021, partial genome"
PV357255,Merida virus,Rhabdoviridae,No,H22_5,4759,"PV357255.1 Merida virus isolate H22_5/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV335223,Merida virus,Rhabdoviridae,No,H22_8,8984,"PV335223.1 Merida virus isolate H22_8/BR2021, partial genome"
PV357256,Merida virus,Rhabdoviridae,No,H22_9,2127,"PV357256.1 Merida virus isolate H22_9/BR2021 RNA-dependent RNA polymerase gene, partial cds"
PV357257,Merida virus,Rhabdoviridae,No,H22_10,2489,"PV357257.1 Merida virus isolate H22_10/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV335221,Merida virus,Rhabdoviridae,No,H22_12,11766,"PV335221.1 Merida virus isolate H22_12/BR2021, complete genome"
PV335194,Anopheles darlingui virus,Xinmoviridae,No,M36_2,12506,"PV335194.1 Anopheles darlingi virus isolate M36_2/2/BR2022, complete genome"
PV335195,Anopheles darlingui virus,Xinmoviridae,No,M37_4,8975,"PV335195.1 Anopheles darlingi virus isolate M37_4/1/BR2022, complete genome"
PV335196,Opsiphanes invirae iflavirus 1,Iflaviridae,No,E14_41,10155,"PV335196.1 Opsiphanes invirae iflavirus 1 isolate E14_41/1/BR2021, complete genome"
PV335197,Jurua Iflavirus 1,Iflaviridae,Yes,G20_6,10239,"PV335197.1 Jurua iflavirus 1 isolate G20_6/1/BR2021, complete genome"
PV335198,Jurua Iflavirus 2,Iflaviridae,Yes,I23_2,9185,"PV335198.1 Jurua iflavirus 2 isolate I23_2/1/BR2022 polyprotein gene, partial cds"
PV335199,Jurua Iflavirus 3,Iflaviridae,Yes,C7_10,2406,"PV335199.1 Jurua iflavirus 3 isolate C7_10/152/BR2021 polyprotein gene, partial cds"
PV335214,Jurua Iflavirus 4,Iflaviridae,Yes,E14_28,2031,"PV335214.1 Jurua iflavirus 4 isolate E14_28/46/BR2021 polyprotein gene, partial cds"
PV335213,Jurua Iflavirus 4,Iflaviridae,Yes,A1_28,1549,"PV335213.1 Jurua iflavirus 4 isolate A1_28/522/BR2021 polyprotein gene, partial cds"
PV335202,Culex flavivirus,Flaviviridae,No,G19_2,3088,"PV335202.1 Culex flavivirus isolate G19_2/50/BR2021 polyprotein gene, partial cds"
PV335200,Culex flavivirus,Flaviviridae,No,C9_17,3477,"PV335200.1 Culex flavivirus isolate C9_17/18/BR2021 polyprotein gene, partial cds"
PV335201,Culex flavivirus,Flaviviridae,No,F16_9,2954,"PV335201.1 Culex flavivirus isolate F16_9/7/BR2021 polyprotein gene, partial cds"
PV335203,Culex flavivirus,Flaviviridae,No,G21_2,3442,"PV335203.1 Culex flavivirus isolate G21_2/91/BR2021 polyprotein gene, partial cds"
PV357258,Alphamesonivirus 1,Mesoniviridae,No,H22_5,9912,"PV357258.1 Alphamesonivirus cavallyense isolate H22_5/2/BR2021 Polyprotein 1a (ORF1a) gene, partial cds; and Polyprotein 1b (ORF1b) gene, complete cds"
PV335224,Alphamesonivirus 1,Mesoniviridae,No,G19_1,20816,PV335224.1 Alphamesonivirus 1 isolate G19_1/1/BR2021 complete genome
PV335225,Carauari Mesonivirus,Mesoniviridae,Yes,M36_2,19776,PV335225.1 Carauari mesonivirus isolate M36_2/1/BR2022 complete genome
PV335226,Jurua Mesonivirus,Mesoniviridae,Yes,G21_1,20449,PV335226.1 Jurua mesonivirus isolate G21_1/1/BR2021 complete genome
PV335204,Caaingua virus,Togaviridae,No,K30_25,12091,"PV335204.1 Caaingua virus isolate K30_25/2/BR2022, partial genome"
PV335205,Caaingua virus,Togaviridae,No,K31_1,12052,"PV335205.1 Caaingua virus isolate K31_1/1/BR2022, complete genome"
PV335207,Caaingua virus,Togaviridae,No,L34_14,12041,"PV335207.1 Caaingua virus isolate L34_14/1/BR2022, complete genome"
PV335206,Caaingua virus,Togaviridae,No,K31_30,10132,"PV335206.1 Caaingua virus isolate K31_30/1/BR2022, partial genome"
PV335208,Jurua Alphavirus,Togaviridae,Yes,B5_100,10990,"PV335208.1 Jurua alphavirus isolate B5_100/1/BR2021, complete genome"
PV335209,Jurua Totivirus 1,Totiviridae,Yes,B5_76,2077,"PV335209.1 Jurua totivirus 1 isolate B5_76/37/BR2021 RNA-dependent RNA polymerase, partial CDS"
PV335212,Jurua Totivirus 2,Totiviridae,Yes,F17_2,1195,"PV335212.1 Jurua totivirus 2 isolate F17_2/263/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV335210,Jurua Totivirus 2,Totiviridae,Yes,D10_1,1252,"PV335210.1 Jurua totivirus 2 isolate D10_1/127/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV335211,Jurua Totivirus 2,Totiviridae,Yes,D10_2,1214,"PV335211.1 Jurua totivirus 2 isolate D10_2/1706/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
