seqname	dsDNAphage	ssDNA	NCLDV	RNA	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
NZ_JAFEVH010000084.1||full	0.460	0.453	0.427	0.185	0.900	0.900	lavidaviridae	3291	0	20.000	0.000
NZ_JAFEVH010000083.1||full	0.620	0.387	0.280	0.790	0.813	0.813	lavidaviridae	3589	0	25.000	0.000
NZ_JAFEVH010000080.1||full	0.247	0.027	0.713	0.170	0.680	0.713	NCLDV	3856	0	20.000	0.000
NZ_JAFEVH010000073.1||full	0.980	0.047	0.040	0.015	0.127	0.980	dsDNAphage	4504	1	27.300	9.100
NZ_JAFEVH010000072.1||full	0.967	0.040	0.587	0.195	0.220	0.967	dsDNAphage	4055	1	25.000	0.000
NZ_JAFEVH010000071.1||full	0.847	0.040	0.040	0.010	0.100	0.847	dsDNAphage	4666	4	57.100	28.600
NZ_JAFEVH010000062.1||full	0.993	0.060	0.260	0.055	0.253	0.993	dsDNAphage	5312	4	50.000	8.300
NZ_JAFEVH010000050.1||full	0.133	0.027	0.713	0.170	0.193	0.713	NCLDV	6582	0	25.000	0.000
NZ_JAFEVH010000049.1||full	0.233	0.013	0.567	0.070	0.180	0.567	NCLDV	6734	0	50.000	0.000
NZ_JAFEVH010000045.1||full	0.980	0.020	0.040	0.010	0.047	0.980	dsDNAphage	7549	5	46.200	15.400
NZ_JAFEVG010000044.1||full	0.720	0.827	0.847	0.160	0.907	0.907	lavidaviridae	3870	0	66.700	0.000
NZ_JAFEVG010000043.1||full	0.887	0.540	0.820	0.235	0.867	0.887	dsDNAphage	3743	1	50.000	0.000
NZ_JAFEVG010000041.1||full	0.973	0.720	0.913	0.045	0.747	0.973	dsDNAphage	4158	1	60.000	0.000
NZ_JAFEVG010000039.1||full	0.400	0.160	0.500	0.055	0.147	0.500	NCLDV	4379	0	50.000	0.000
NZ_JAFEVG010000033.1||full	0.073	0.007	0.760	0.065	0.220	0.760	NCLDV	5272	0	20.000	0.000
NZ_JAFEVG010000032.1||full	0.433	0.073	0.847	0.585	0.820	0.847	NCLDV	4417	0	20.000	0.000
NZ_JAFEVF010000070.1||full	0.187	0.713	0.967	0.140	0.967	0.967	NCLDV	2230	0	50.000	0.000
NZ_JAFEVF010000060.1||full	0.200	0.047	0.700	0.060	0.267	0.700	NCLDV	2865	0	25.000	0.000
NZ_JAFEVF010000057.1||full	0.273	0.007	0.913	0.045	0.167	0.913	NCLDV	3457	0	25.000	0.000
NZ_JAFEVF010000053.1||full	0.160	0.027	0.953	0.040	0.373	0.953	NCLDV	3180	0	33.300	0.000
NZ_JAFEVF010000046.1||full	0.053	0.027	0.520	0.095	0.480	0.520	NCLDV	5082	0	16.700	0.000
NZ_JAFEVE010000019.1||full	0.207	0.480	0.420	0.195	0.553	0.553	lavidaviridae	3292	0	50.000	0.000
NZ_JAUCRB010000009.1||full	0.860	0.920	0.967	0.345	0.567	0.967	NCLDV	1566	0	50.000	0.000
NZ_JAHDJT010000174.1||full	0.153	0.813	0.407	0.495	0.673	0.813	ssDNA	1124	0	50.000	0.000
NZ_JAHDJT010000167.1||full	0.980	0.960	0.147	0.210	0.647	0.980	dsDNAphage	1472	2	75.000	0.000
NZ_JAHDJT010000164.1||full	0.207	0.133	0.380	0.455	0.593	0.593	lavidaviridae	1439	0	50.000	0.000
NZ_JAHDJT010000148.1||full	0.747	0.880	0.680	0.585	0.960	0.960	lavidaviridae	1814	0	50.000	0.000
NZ_JAHDJT010000147.1||full	0.853	0.033	0.733	0.120	0.380	0.853	dsDNAphage	2446	1	25.000	0.000
NZ_JAHDJT010000139.1||full	0.313	0.533	0.587	0.260	0.713	0.713	lavidaviridae	2617	0	33.300	0.000
NZ_JAHDJT010000135.1||full	0.413	0.033	0.500	0.000	0.033	0.500	NCLDV	3243	0	60.000	20.000
NZ_JAHDJT010000133.1||full	0.847	0.107	0.420	0.200	0.320	0.847	dsDNAphage	3260	1	25.000	0.000
NZ_JAHDJT010000132.1||full	0.800	0.133	0.340	0.555	0.273	0.800	dsDNAphage	3289	1	33.300	0.000
NZ_JAHDJT010000124.1||full	0.293	0.020	0.880	0.585	0.780	0.880	NCLDV	3335	0	20.000	0.000
NZ_JAHDJT010000119.1||full	0.907	0.073	0.393	0.010	0.247	0.907	dsDNAphage	4000	2	33.300	11.100
NZ_JAHDJT010000118.1||full	0.760	0.640	0.280	0.290	0.753	0.760	dsDNAphage	3617	0	28.600	0.000
NZ_JAHDJT010000116.1||full	0.987	0.033	0.120	0.000	0.027	0.987	dsDNAphage	4133	3	60.000	20.000
NZ_JAHDJT010000108.1||full	0.960	0.033	0.033	0.045	0.140	0.960	dsDNAphage	4474	1	33.300	16.700
NZ_JAHDJT010000100.1||full	0.093	0.027	0.653	0.245	0.187	0.653	NCLDV	5085	0	25.000	0.000
NZ_JAHDJT010000099.1||full	0.120	0.000	0.947	0.070	0.173	0.947	NCLDV	4822	0	16.700	0.000
NZ_JAHDJT010000093.1||full	0.553	0.527	0.573	0.090	0.553	0.573	NCLDV	5194	0	75.000	0.000
NZ_JAHDJT010000090.1||full	0.067	0.000	0.893	0.005	0.187	0.893	NCLDV	5564	0	40.000	20.000
NZ_JAHDJT010000074.1||full	0.280	0.013	0.927	0.175	0.513	0.927	NCLDV	6158	0	28.600	0.000
NZ_JAHDJT010000065.1||full	0.987	0.020	0.060	0.045	0.120	0.987	dsDNAphage	7103	3	58.300	8.300
NZ_JAHDJT010000058.1||full	0.713	0.013	0.020	0.000	0.073	0.713	dsDNAphage	7504	1	42.900	28.600
NZ_JAATLA010000015.1||full	0.907	0.107	0.753	0.170	0.640	0.907	dsDNAphage	3765	2	40.000	0.000
NZ_JAATLB010000006.1||full	0.187	0.007	0.573	0.110	0.280	0.573	NCLDV	6948	0	28.600	0.000
NZ_JAATLB010000002.1||full	0.493	0.573	nan	0.485	0.740	0.740	lavidaviridae	3429	0	50.000	0.000
NZ_JQAM01000002.1||full	0.953	0.000	0.340	0.015	0.113	0.953	dsDNAphage	7594	4	53.800	23.100
NZ_CAOH01000098.1||full	0.940	0.993	0.760	0.235	0.827	0.993	ssDNA	1276	0	100.000	0.000
NZ_CAOH01000094.1||full	0.813	0.140	0.613	0.375	0.827	0.827	lavidaviridae	1704	0	33.300	0.000
NZ_CAOH01000072.1||full	0.500	0.100	0.513	0.260	0.507	0.513	NCLDV	1252	0	33.300	0.000
NZ_CAOH01000068.1||full	0.440	0.440	nan	0.340	0.700	0.700	lavidaviridae	3080	0	33.300	0.000
NZ_CAOH01000048.1||full	0.960	0.020	0.033	0.015	0.153	0.960	dsDNAphage	2539	2	50.000	25.000
NZ_CAOH01000035.1||full	0.913	0.127	0.553	0.410	0.267	0.913	dsDNAphage	2818	1	33.300	0.000
NZ_CAOH01000034.1||full	0.967	0.987	nan	0.180	0.773	0.987	ssDNA	842	0	100.000	0.000
NZ_CAOH01000033.1||full	0.847	0.967	0.807	0.455	0.953	0.967	ssDNA	1278	0	66.700	0.000
NZ_CAOH01000030.1||full	0.733	0.887	0.887	0.400	0.967	0.967	lavidaviridae	2336	0	66.700	0.000
NZ_CAOH01000027.1||full	0.907	0.453	0.400	0.310	0.353	0.907	dsDNAphage	3212	1	66.700	0.000
NZ_CAOH01000026.1||full	0.933	0.020	0.013	0.020	0.193	0.933	dsDNAphage	2744	2	50.000	25.000
NZ_CAOH01000025.1||full	0.893	0.040	0.273	0.000	0.180	0.893	dsDNAphage	4039	3	50.000	25.000
NZ_CAOH01000024.1||full	0.793	0.020	0.040	0.000	0.013	0.793	dsDNAphage	4832	1	42.900	28.600
NZ_CAOH01000023.1||full	0.760	0.927	0.767	0.445	0.987	0.987	lavidaviridae	3317	0	66.700	0.000
NZ_CAOH01000022.1||full	0.933	0.373	0.427	0.300	0.373	0.933	dsDNAphage	2264	1	66.700	0.000
NZ_CAOH01000005.1||full	0.607	0.233	0.800	0.185	0.367	0.800	NCLDV	1999	0	50.000	0.000
NZ_CAOH01000004.1||full	1.000	0.987	0.747	0.190	0.653	1.000	dsDNAphage	1266	2	100.000	0.000
NZ_CAOH01000003.1||full	1.000	0.040	0.353	0.000	0.047	1.000	dsDNAphage	3584	3	75.000	25.000
NZ_CAOH01000001.1||full	0.913	0.460	0.393	0.305	0.320	0.913	dsDNAphage	4154	1	75.000	0.000
NZ_JBIXJM010000235.1||full	0.953	0.073	0.140	0.005	0.313	0.953	dsDNAphage	4804	3	60.000	20.000
NZ_JBIXJM010000229.1||full	0.173	0.000	0.620	0.060	0.053	0.620	NCLDV	6497	0	14.300	0.000
NZ_JBIXJM010000226.1||full	0.107	0.100	0.887	0.150	0.240	0.887	NCLDV	3006	0	33.300	0.000
NZ_JBIXJM010000224.1||full	0.880	0.540	0.927	0.440	0.980	0.980	lavidaviridae	3069	0	33.300	0.000
NZ_JBIXJM010000194.1||full	0.040	0.007	1.000	0.115	0.227	1.000	NCLDV	3465	0	20.000	0.000
NZ_JBIXJM010000181.1||full	0.567	0.027	0.273	0.125	0.213	0.567	dsDNAphage	1429	0	25.000	0.000
NZ_JBIXJM010000174.1||full	0.913	0.947	nan	0.460	0.980	0.980	lavidaviridae	1262	0	33.300	0.000
NZ_JBIXJM010000173.1||full	1.000	0.987	0.787	0.105	0.680	1.000	dsDNAphage	2120	3	80.000	0.000
NZ_JBIXJM010000168.1||full	0.300	0.047	0.687	0.160	0.433	0.687	NCLDV	3973	0	25.000	0.000
NZ_JBIXJM010000149.1||full	0.913	0.027	0.807	0.010	0.220	0.913	dsDNAphage	5666	4	62.500	12.500
NZ_JBIXJM010000148.1||full	0.987	1.000	0.747	0.370	0.913	1.000	ssDNA	1452	0	66.700	0.000
NZ_JBIXJM010000145.1||full	0.360	0.067	0.893	0.525	0.747	0.893	NCLDV	4249	0	25.000	0.000
NZ_JBIXJM010000134.1||full	0.147	0.040	0.780	0.150	0.347	0.780	NCLDV	3163	0	20.000	0.000
NZ_JBIXJM010000123.1||full	0.073	0.000	0.927	0.100	0.253	0.927	NCLDV	7095	0	16.700	0.000
NZ_JBIXJM010000118.1||full	0.160	0.087	0.787	0.240	0.300	0.787	NCLDV	3344	0	33.300	0.000
NZ_JBIXJM010000108.1||full	0.987	0.913	0.880	0.125	0.167	0.987	dsDNAphage	1563	2	100.000	0.000
NZ_JBIXJM010000093.1||full	0.853	0.947	0.327	0.455	0.800	0.947	ssDNA	849	0	66.700	0.000
NZ_JBIXJM010000072.1||full	0.720	0.893	0.287	0.430	0.740	0.893	ssDNA	3044	0	66.700	0.000
NZ_JBIXJM010000056.1||full	0.700	0.820	0.367	0.350	0.800	0.820	ssDNA	4025	0	100.000	0.000
NZ_JBIXJM010000047.1||full	0.460	0.133	0.700	0.050	0.493	0.700	NCLDV	4173	0	60.000	0.000
NZ_JBIXJM010000044.1||full	0.940	0.920	nan	0.305	0.480	0.940	dsDNAphage	651	1	66.700	0.000
NZ_JBIXJM010000035.1||full	0.580	0.847	0.373	0.140	0.760	0.847	ssDNA	1811	0	66.700	0.000
NZ_JBIXJM010000005.1||full	0.807	0.840	0.600	0.305	0.580	0.840	ssDNA	1420	0	66.700	0.000
NZ_JBIXJL010000098.1||full	0.927	0.593	0.373	0.155	0.840	0.927	dsDNAphage	4257	2	33.300	0.000
NZ_JBIXJL010000093.1||full	0.233	0.007	0.973	0.090	0.360	0.973	NCLDV	5815	0	16.700	0.000
NZ_JBIXJL010000080.1||full	0.800	0.973	0.967	0.180	0.973	0.973	ssDNA	2901	0	66.700	0.000
NZ_JBIXJL010000053.1||full	0.833	0.067	0.900	0.065	0.040	0.900	NCLDV	1882	1	33.300	0.000
NZ_JAZHPY010000148.1||full	0.727	0.173	nan	0.470	0.320	0.727	dsDNAphage	398	1	50.000	0.000
NZ_JAZHPY010000146.1||full	0.807	0.913	0.520	0.405	0.700	0.913	ssDNA	645	0	33.300	0.000
NZ_JAZHPY010000136.1||full	0.647	0.240	0.593	0.495	0.240	0.647	dsDNAphage	1189	0	33.300	0.000
NZ_JAZHPY010000113.1||full	0.980	0.573	0.673	0.200	0.627	0.980	dsDNAphage	2501	5	87.500	0.000
NZ_JAZHPY010000110.1||full	0.947	0.440	0.320	0.185	0.540	0.947	dsDNAphage	2077	0	83.300	0.000
NZ_JAZHPY010000109.1||full	0.960	0.820	0.467	0.260	0.867	0.960	dsDNAphage	2434	2	66.700	0.000
NZ_JAZHPY010000094.1||full	0.347	0.040	0.787	0.060	0.447	0.787	NCLDV	3661	0	25.000	0.000
NZ_JAZHPY010000093.1||full	0.933	0.013	0.360	0.035	0.053	0.933	dsDNAphage	3826	3	50.000	16.700
NZ_JAZHPY010000089.1||full	0.633	0.667	0.813	0.100	0.707	0.813	NCLDV	4174	0	75.000	0.000
NZ_JAZHPY010000072.1||full	0.307	0.080	0.573	0.060	0.393	0.573	NCLDV	5162	0	33.300	0.000
NZ_JAZHPY010000071.1||full	0.213	0.013	0.993	0.250	0.733	0.993	NCLDV	5097	0	25.000	0.000
NZ_JAZHPY010000053.1||full	0.573	0.093	0.307	0.650	0.633	0.650	RNA	7226	0	14.300	0.000
NZ_JAWLJC010000080.1||full	1.000	0.067	0.040	0.020	0.187	1.000	dsDNAphage	4483	3	50.000	12.500
NZ_JAWLJC010000074.1||full	0.967	0.067	0.067	0.010	0.093	0.967	dsDNAphage	5053	5	70.000	20.000
NZ_JAWLJC010000073.1||full	0.967	0.127	0.447	0.005	0.087	0.967	dsDNAphage	4876	5	66.700	22.200
NZ_JAWLJC010000071.1||full	0.907	0.013	0.060	0.005	0.033	0.907	dsDNAphage	7900	3	44.400	33.300
NZ_JAWLJC010000057.1||full	0.960	0.007	0.120	0.010	0.153	0.960	dsDNAphage	7297	4	44.400	11.100
NZ_JAWLJC010000055.1||full	0.373	0.067	0.893	0.520	0.733	0.893	NCLDV	4240	0	25.000	0.000
NZ_JAWLJC010000048.1||full	0.880	0.013	0.067	0.010	0.060	0.880	dsDNAphage	2365	2	40.000	40.000
NZ_JAWLJC010000045.1||full	0.933	0.233	0.373	0.090	0.273	0.933	dsDNAphage	4752	2	66.700	0.000
NZ_JAWLJC010000043.1||full	0.953	0.087	0.007	0.005	0.213	0.953	dsDNAphage	2053	2	50.000	25.000
NZ_JAWLJC010000034.1||full	0.180	0.013	0.707	0.090	0.340	0.707	NCLDV	7533	0	25.000	0.000
NZ_JAWLJC010000029.1||full	0.960	0.007	0.067	0.025	0.173	0.960	dsDNAphage	7413	3	37.500	12.500
NZ_JAWLJC010000012.1||full	0.900	0.000	0.027	0.000	0.047	0.900	dsDNAphage	5605	3	37.500	25.000
NZ_JAWHTO010000250.1||full	0.893	0.067	0.627	0.240	0.687	0.893	dsDNAphage	3017	1	33.300	0.000
NZ_JAWHTO010000238.1||full	0.900	0.007	0.087	0.015	0.133	0.900	dsDNAphage	2786	2	50.000	25.000
NZ_JAWHTO010000232.1||full	0.280	0.180	0.780	0.190	0.627	0.780	NCLDV	2248	0	50.000	0.000
NZ_JAWHTO010000214.1||full	0.033	0.020	1.000	0.100	0.220	1.000	NCLDV	3699	0	20.000	0.000
NZ_JAWHTO010000211.1||full	0.340	0.707	0.633	0.370	0.500	0.707	ssDNA	783	0	50.000	0.000
NZ_JAWHTO010000163.1||full	0.073	0.000	0.607	0.095	0.107	0.607	NCLDV	5767	0	16.700	0.000
NZ_JAWHTO010000152.1||full	0.567	0.267	0.347	0.185	0.087	0.567	dsDNAphage	2987	0	50.000	0.000
NZ_JAWHTO010000140.1||full	0.227	0.107	0.933	0.205	0.660	0.933	NCLDV	2920	0	50.000	0.000
NZ_JAWHTO010000135.1||full	0.373	0.067	0.893	0.520	0.733	0.893	NCLDV	4240	0	25.000	0.000
NZ_JAWHTO010000119.1||full	0.993	0.060	0.240	0.005	0.287	0.993	dsDNAphage	5990	5	63.600	9.100
XM_021855741.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	1430	1	100.000	0.000
XM_021855739.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	1630	1	100.000	0.000
XM_021855737.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	1421	1	100.000	0.000
XM_021855734.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	2428	1	100.000	0.000
NZ_JQAM01000043.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	663	1	50.000	0.000
NZ_CAOH01000116.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	503	1	100.000	0.000
NZ_CAOH01000110.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	629	1	50.000	0.000
NZ_CAOH01000106.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	865	1	100.000	0.000
NZ_CAOH01000105.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	926	1	50.000	0.000
NZ_CAOH01000054.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	1014	1	100.000	0.000
NZ_CAOH01000041.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	1133	1	100.000	0.000
NZ_JBIXJM010000254.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	1460	2	100.000	0.000
NZ_JBIXJM010000231.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	1356	1	50.000	0.000
NZ_JBIXJM010000095.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	522	1	100.000	0.000
NZ_JBIXJM010000094.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	504	1	100.000	0.000
NZ_JBIXJM010000061.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	865	1	50.000	0.000
NZ_JBIXJM010000060.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	605	1	100.000	0.000
NZ_JBIXJM010000050.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	570	1	100.000	0.000
NZ_JBIXJM010000049.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	908	1	50.000	0.000
NZ_JBIXJM010000040.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	580	1	100.000	0.000
NZ_JBIXJM010000039.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	899	1	50.000	0.000
NZ_JBIXJM010000037.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	637	1	100.000	0.000
NZ_JBIXJM010000033.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	1775	1	100.000	0.000
NZ_JBIXJM010000027.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	921	1	100.000	0.000
NZ_JBIXJM010000019.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	508	1	100.000	0.000
NZ_JBIXJL010000062.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	1904	1	100.000	0.000
NZ_JBIXJL010000021.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	913	1	100.000	0.000
NZ_JAWLJC010000109.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	616	1	100.000	0.000
NZ_JAWLJC010000104.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	689	2	100.000	0.000
NZ_JAWLJC010000103.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	585	1	50.000	0.000
NZ_JAWLJC010000100.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	585	1	50.000	0.000
NZ_JAWLJC010000099.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	794	1	50.000	0.000
NZ_JAWLJC010000098.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	849	1	50.000	0.000
NZ_JAWLJC010000084.1||lt2gene	nan	nan	nan	nan	nan	nan	dsDNAphage	558	1	100.000	0.000
