seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
XM_085036764.1	5209	No terminal repeats	NA	1	11	0.9986	0.0008	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAHDJT010000165.1	1600	No terminal repeats	NA	2	11	0.9986	0.0008	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JBIXJL010000062.1	1904	No terminal repeats	NA	2	11	0.9985	0.0008	1	1.7173	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAWHTO010000250.1	3290	No terminal repeats	NA	3	11	0.9985	0.0008	1	1.4495	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_CAOH01000004.1	1266	No terminal repeats	NA	3	11	0.9979	0.0008	3	4.7755	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAFEVH010000062.1	5559	No terminal repeats	NA	12	11	0.9978	0.0008	7	12.0883	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_085036223.1	5419	No terminal repeats	NA	1	11	0.9976	0.0009	0	0.0000	Unclassified
NZ_JAZHPY010000093.1	3829	No terminal repeats	NA	6	11	0.9976	0.0009	3	6.7208	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_CAOH01000023.1	3320	No terminal repeats	NA	3	11	0.9972	0.0009	0	2.0082	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JBIXJM010000019.1	508	No terminal repeats	NA	1	11	0.9964	0.0009	1	1.6774	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAWLJC010000048.1	2366	No terminal repeats	NA	5	11	0.9961	0.0010	3	4.5727	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAZHPY010000087.1	4325	No terminal repeats	NA	4	11	0.9950	0.0010	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAFEVH010000045.1	7560	No terminal repeats	NA	13	11	0.9943	0.0011	6	12.9115	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAWLJC010000073.1	4876	No terminal repeats	NA	9	11	0.9938	0.0011	7	13.6566	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_CAOH01000053.1	992	No terminal repeats	NA	3	11	0.9930	0.0012	1	1.7183	Unclassified
NZ_JBIXJM010000149.1	5719	No terminal repeats	NA	8	11	0.9924	0.0012	4	8.4480	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAATLA010000015.1	3906	No terminal repeats	NA	4	11	0.9913	0.0013	1	1.6774	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAWLJC010000029.1	7413	No terminal repeats	NA	8	11	0.9900	0.0014	2	9.5075	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_049676086.1	7916	No terminal repeats	NA	1	11	0.9873	0.0015	0	0.0000	Unclassified
XM_085036051.1	6785	No terminal repeats	NA	1	11	0.9866	0.0016	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Chimalliviridae
XM_049674666.1	6291	No terminal repeats	NA	2	11	0.9811	0.0018	0	0.0000	Unclassified
NZ_JAWLJC010000100.1	585	No terminal repeats	NA	2	11	0.9807	0.0020	1	1.2916	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_039596359.2	2502	No terminal repeats	NA	1	11	0.9792	0.0022	0	0.0000	Unclassified
NZ_JBIXJM010000110.1	6458	No terminal repeats	NA	8	11	0.9754	0.0024	1	5.8474	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAHDJT010000126.1	3665	No terminal repeats	NA	2	11	0.9754	0.0026	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAWLJC010000080.1	4484	No terminal repeats	NA	7	11	0.9748	0.0028	5	7.4516	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_021855818.1	1405	No terminal repeats	NA	1	11	0.9748	0.0030	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;
XM_049676067.1	7770	No terminal repeats	NA	1	11	0.9736	0.0033	0	0.0000	Unclassified
NZ_JAWHTO010000119.1	5990	No terminal repeats	NA	11	11	0.9695	0.0035	7	13.6604	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JBIXJM010000047.1	4328	No terminal repeats	NA	5	11	0.9683	0.0038	1	3.0785	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_049682965.1	5588	No terminal repeats	NA	1	11	0.9645	0.0041	0	0.0000	Unclassified
NZ_CAOH01000065.1	6480	No terminal repeats	NA	6	11	0.9634	0.0043	0	1.6758	Unclassified
NZ_JAWLJC010000057.1	7297	No terminal repeats	NA	9	11	0.9622	0.0046	3	10.9765	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAHDJT010000116.1	4136	No terminal repeats	NA	5	11	0.9580	0.0050	4	7.2728	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAWLJC010000061.1	7298	No terminal repeats	NA	8	11	0.9557	0.0053	0	3.5172	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_085037465.1	2871	No terminal repeats	NA	1	11	0.9535	0.0057	0	0.0000	Unclassified
XM_085037467.1	2506	No terminal repeats	NA	1	11	0.9515	0.0060	0	0.0000	Unclassified
NZ_CAOH01000048.1	2540	No terminal repeats	NA	4	11	0.9500	0.0064	2	3.1356	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAZHPY010000089.1	4236	No terminal repeats	NA	6	11	0.9488	0.0068	0	3.9990	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_001651075.2	4372	No terminal repeats	NA	1	11	0.9468	0.0072	0	0.0000	Unclassified
XM_049686467.1	4378	No terminal repeats	NA	1	11	0.9464	0.0076	0	0.0000	Unclassified
XM_049683296.1	2827	No terminal repeats	NA	2	11	0.9452	0.0080	0	0.0000	Unclassified
NZ_JAWHTO010000195.1	2626	No terminal repeats	NA	1	11	0.9443	0.0084	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_049674639.1	6296	No terminal repeats	NA	3	11	0.9419	0.0088	0	0.0000	Unclassified
XM_049686474.1	4378	No terminal repeats	NA	1	11	0.9413	0.0092	0	0.0000	Unclassified
NZ_JAHDJT010000135.1	3244	No terminal repeats	NA	5	11	0.9410	0.0096	1	2.4108	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_049674844.1	4355	No terminal repeats	NA	1	11	0.9404	0.0100	0	0.0000	Unclassified
XM_001651064.2	2643	No terminal repeats	NA	1	11	0.9396	0.0104	0	0.0000	Unclassified
XM_049690634.1	5176	No terminal repeats	NA	1	11	0.9376	0.0108	0	0.0000	Unclassified
NZ_JAHDJT010000065.1	7118	No terminal repeats	NA	12	11	0.9345	0.0112	5	8.9029	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_085036080.1	3236	No terminal repeats	NA	2	11	0.9344	0.0116	0	0.0000	Unclassified
XM_085037239.1	4034	No terminal repeats	NA	1	11	0.9286	0.0121	0	0.0000	Unclassified
XM_049686483.1	3499	No terminal repeats	NA	1	11	0.9245	0.0125	0	0.0000	Unclassified
NM_001358116.1	2653	No terminal repeats	NA	2	11	0.9238	0.0130	0	0.0000	Unclassified
XM_049674737.1	6212	No terminal repeats	NA	2	11	0.9204	0.0135	0	0.0000	Unclassified
NZ_JAHDJT010000081.1	6471	No terminal repeats	NA	6	11	0.9172	0.0140	0	3.3068	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Demerecviridae
NZ_JAZHPY010000113.1	2501	No terminal repeats	NA	8	11	0.9158	0.0145	5	8.6337	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_049691197.1	2715	No terminal repeats	NA	1	11	0.9155	0.0151	0	0.0000	Unclassified
XM_021855645.1	4359	No terminal repeats	NA	1	11	0.9152	0.0156	0	0.0000	Unclassified
XM_049691778.1	3609	No terminal repeats	NA	1	11	0.9122	0.0161	0	0.0000	Unclassified
XM_049690925.1	2547	No terminal repeats	NA	1	11	0.9121	0.0166	0	0.0000	Unclassified
NZ_CAOH01000024.1	4834	No terminal repeats	NA	7	11	0.9117	0.0171	3	4.3662	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_049674729.1	6212	No terminal repeats	NA	2	11	0.9094	0.0176	0	0.0000	Unclassified
XM_085036900.1	2648	No terminal repeats	NA	1	11	0.9051	0.0182	0	0.0000	Unclassified
XM_049674722.1	6281	No terminal repeats	NA	2	11	0.9022	0.0187	0	0.0000	Unclassified
NZ_JBIXJM010000166.1	4827	No terminal repeats	NA	3	11	0.9020	0.0193	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_CAOH01000094.1	1706	No terminal repeats	NA	3	11	0.8995	0.0198	1	1.2484	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NM_001408378.1	7172	No terminal repeats	NA	1	11	0.8978	0.0204	0	0.0000	Unclassified
XM_085037238.1	5409	No terminal repeats	NA	2	11	0.8968	0.0209	0	0.0000	Unclassified
NZ_JBIXJL010000098.1	4355	No terminal repeats	NA	6	11	0.8958	0.0215	1	1.7173	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_085036492.1	3256	No terminal repeats	NA	1	11	0.8958	0.0221	0	0.0000	Unclassified
NZ_JAWLJC010000038.1	7307	No terminal repeats	NA	8	11	0.8954	0.0226	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_049690299.1	2618	No terminal repeats	NA	1	11	0.8936	0.0231	0	0.0000	Unclassified
XM_049674676.1	6500	No terminal repeats	NA	2	11	0.8906	0.0237	0	0.0000	Unclassified
NZ_JAWLJC010000045.1	4752	ITR	NA	6	11	0.8901	0.0243	2	3.3761	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_049685409.1	6238	No terminal repeats	NA	1	11	0.8894	0.0248	0	0.0000	Unclassified
XM_049674527.1	7934	No terminal repeats	NA	1	11	0.8890	0.0254	0	0.0000	Unclassified
XM_021855624.1	2894	No terminal repeats	NA	1	11	0.8878	0.0259	0	0.0000	Unclassified
XM_001662173.2	2880	No terminal repeats	NA	1	11	0.8834	0.0265	0	0.0000	Unclassified
XM_049685392.1	6282	No terminal repeats	NA	1	11	0.8799	0.0271	0	0.0000	Unclassified
XM_049674686.1	6217	No terminal repeats	NA	2	11	0.8758	0.0277	0	0.0000	Unclassified
XM_049685417.1	6231	No terminal repeats	NA	1	11	0.8725	0.0283	0	0.0000	Unclassified
XM_085035955.1	3520	No terminal repeats	NA	1	11	0.8690	0.0290	0	0.0000	Unclassified
XM_001662172.2	2817	No terminal repeats	NA	1	11	0.8584	0.0296	0	0.0000	Unclassified
XM_085036620.1	5339	No terminal repeats	NA	1	11	0.8568	0.0303	0	0.0000	Unclassified
XM_021855918.1	3147	No terminal repeats	NA	1	11	0.8559	0.0310	0	0.0000	Unclassified
NM_001358251.1	2586	No terminal repeats	NA	2	11	0.8552	0.0317	0	0.0000	Unclassified
XM_049690307.1	2554	No terminal repeats	NA	1	11	0.8543	0.0324	0	0.0000	Unclassified
XM_049675007.1	2558	No terminal repeats	NA	1	11	0.8533	0.0331	0	0.0000	Unclassified
XM_049674172.1	3849	No terminal repeats	NA	1	11	0.8532	0.0338	0	0.0000	Unclassified
XM_021855566.1	2634	No terminal repeats	NA	1	11	0.8510	0.0344	0	0.0000	Unclassified
XM_049691803.1	2681	No terminal repeats	NA	1	11	0.8463	0.0351	0	0.0000	Unclassified
NZ_JAATLA010000013.1	4901	No terminal repeats	NA	5	11	0.8459	0.0358	0	0.0000	Unclassified
XM_049674162.1	3844	No terminal repeats	NA	1	11	0.8439	0.0365	0	0.0000	Unclassified
XM_049685401.1	6222	No terminal repeats	NA	1	11	0.8418	0.0372	0	0.0000	Unclassified
XM_049692960.1	4055	No terminal repeats	NA	1	11	0.8364	0.0379	0	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;
XM_085035956.1	3406	No terminal repeats	NA	1	11	0.8360	0.0387	0	0.0000	Unclassified
XM_085037586.1	3384	No terminal repeats	NA	1	11	0.8319	0.0394	0	0.0000	Unclassified
XM_049674548.1	8124	No terminal repeats	NA	1	11	0.8289	0.0401	0	0.0000	Unclassified
